type_of_order,order_no,account_no,sec_symbol,trading_datetime,trading_unit,trading_price,trading_amt
BUY,ORD20250703201044835317_2929,ACC048,TRUE,2025-06-01 10:14:42,7800,5.93,46254.0
BUY,ORD20250703201044835118_8379,ACC114,OSP,2025-06-01 10:15:45,7300,24.32,177536.0
BUY,ORD20250703201044834906_8789,ACC025,SCC,2025-06-01 10:15:48,3800,255.33,970254.0
BUY,ORD20250703201044834261_3677,ACC099,INTUCH,2025-06-01 10:18:35,10000,78.32,783200.0
BUY,ORD20250703201044834900_3246,ACC025,TISCO,2025-06-01 10:21:32,600,93.82,56292.0
BUY,ORD20250703201044835571_6052,ACC143,OSP,2025-06-01 10:21:33,2900,23.93,69397.0
BUY,ORD20250703201044834815_4521,ACC072,BBL,2025-06-01 10:23:55,5200,140.31,729612.0
BUY,ORD20250703201044834043_9506,ACC039,INTUCH,2025-06-01 10:25:38,9200,76.18,700856.0
BUY,ORD20250703201044834328_8031,ACC197,DELTA,2025-06-01 10:26:56,7600,93.1,707560.0
BUY,ORD20250703201044835223_9940,ACC006,KBANK,2025-06-01 10:28:22,1100,138.4,152240.0
BUY,ORD20250703201044834551_9921,ACC052,BBL,2025-06-01 10:29:09,200,143.27,28654.0
BUY,ORD20250703201044835352_8552,ACC199,TISCO,2025-06-01 10:32:02,10000,98.67,986700.0
BUY,ORD20250703201044834154_5152,ACC169,TRUE,2025-06-01 10:36:25,9400,6.42,60348.0
SELL,ORD20250703201044834805_1957,ACC079,CPALL,2025-06-01 10:38:49,800,59.1,47280.0
BUY,ORD20250703201044834226_9412,ACC120,OSP,2025-06-01 10:39:22,6400,21.52,137728.0
BUY,ORD20250703201044835521_7590,ACC089,KTB,2025-06-01 10:39:51,500,19.88,9940.0
BUY,ORD20250703201044834144_9838,ACC101,KTB,2025-06-01 10:41:20,8600,17.85,153510.0
BUY,ORD20250703201044834870_2806,ACC070,CPALL,2025-06-01 10:41:20,6400,52.66,337024.0
BUY,ORD20250703201044835181_8900,ACC027,CPALL,2025-06-01 10:41:32,4200,56.04,235368.0
SELL,ORD20250703201044834720_5719,ACC033,AOT,2025-06-01 10:44:11,200,71.62,14324.0
BUY,ORD20250703201044834701_2702,ACC043,KTB,2025-06-01 10:45:25,200,17.35,3470.0
SELL,ORD20250703201044834524_3069,ACC173,SCB,2025-06-01 10:45:27,600,128.32,76992.0
BUY,ORD20250703201044834396_4458,ACC128,BBL,2025-06-01 10:45:30,6700,132.31,886477.0
BUY,ORD20250703201044835268_4263,ACC011,MINT,2025-06-01 10:47:05,300,34.25,10275.0
BUY,ORD20250703201044834200_5162,ACC111,KTB,2025-06-01 10:47:11,3700,17.6,65120.0
BUY,ORD20250703201044834768_7398,ACC192,SCC,2025-06-01 10:48:00,7700,269.37,2074149.0
BUY,ORD20250703201044834249_9608,ACC098,CPALL,2025-06-01 10:49:03,1100,55.06,60566.0
BUY,ORD20250703201044834256_5365,ACC098,KTC,2025-06-01 10:50:35,1600,54.56,87296.0
BUY,ORD20250703201044835239_4236,ACC006,TOP,2025-06-01 10:53:47,7100,52.9,375590.0
BUY,ORD20250703201044834030_1200,ACC001,CPALL,2025-06-01 10:55:38,9100,56.09,510419.0
BUY,ORD20250703201044835357_7251,ACC200,OSP,2025-06-01 10:56:21,7900,24.39,192681.0
SELL,ORD20250703201044834849_6975,ACC154,INTUCH,2025-06-01 10:57:13,700,71.36,49952.0
BUY,ORD20250703201044834810_8488,ACC072,ADVANC,2025-06-01 11:01:58,9300,206.64,1921752.0
BUY,ORD20250703201044835660_7208,ACC060,TISCO,2025-06-01 11:02:04,2400,99.24,238176.0
BUY,ORD20250703201044835235_5101,ACC006,GULF,2025-06-01 11:03:08,900,40.07,36063.0
SELL,ORD20250703201044834315_8627,ACC197,TISCO,2025-06-01 11:04:31,100,91.2,9120.0
BUY,ORD20250703201044835672_2046,ACC061,ADVANC,2025-06-01 11:05:44,5000,200.13,1000650.0
BUY,ORD20250703201044835036_3082,ACC032,TRUE,2025-06-01 11:08:02,7500,5.18,38850.0
BUY,ORD20250703201044835678_9517,ACC061,DELTA,2025-06-01 11:10:59,7400,80.89,598586.0
BUY,ORD20250703201044834831_9080,ACC018,TRUE,2025-06-01 11:11:09,7600,5.82,44232.0
BUY,ORD20250703201044835156_8404,ACC147,OSP,2025-06-01 11:15:02,5100,20.05,102255.0
BUY,ORD20250703201044835683_2215,ACC035,SCB,2025-06-01 11:16:09,2400,128.56,308544.0
BUY,ORD20250703201044834933_7614,ACC100,PTT,2025-06-01 11:16:37,9700,33.93,329121.0
BUY,ORD20250703201044835323_8348,ACC129,KTB,2025-06-01 11:16:57,8100,19.23,155763.0
BUY,ORD20250703201044834500_9843,ACC113,INTUCH,2025-06-01 11:17:48,8700,78.35,681645.0
SELL,ORD20250703201044834082_7025,ACC189,PTT,2025-06-01 11:22:55,700,33.32,23324.0
BUY,ORD20250703201044834495_9228,ACC188,KBANK,2025-06-01 11:24:43,6700,133.33,893311.0
BUY,ORD20250703201044834743_5323,ACC185,GULF,2025-06-01 11:28:17,600,40.94,24564.0
BUY,ORD20250703201044835607_3779,ACC024,OSP,2025-06-01 11:28:58,3800,22.83,86754.0
BUY,ORD20250703201044834437_3908,ACC115,AOT,2025-06-01 11:30:59,9800,60.12,589176.0
SELL,ORD20250703201044834774_9922,ACC121,BDMS,2025-06-01 11:31:57,100,26.85,2685.0
BUY,ORD20250703201044834961_8910,ACC036,PTT,2025-06-01 11:34:19,3800,37.32,141816.0
BUY,ORD20250703201044835313_1776,ACC048,CRC,2025-06-01 11:36:42,4300,36.59,157337.0
BUY,ORD20250703201044834730_7512,ACC163,CPALL,2025-06-01 11:37:54,3900,58.58,228462.0
BUY,ORD20250703201044834619_9244,ACC168,SCB,2025-06-01 11:37:56,5600,115.36,646016.0
BUY,ORD20250703201044835363_5031,ACC056,BBL,2025-06-01 11:38:44,9400,142.32,1337808.0
SELL,ORD20250703201044835506_9756,ACC087,KTC,2025-06-01 11:38:49,400,52.97,21188.0
BUY,ORD20250703201044834475_3203,ACC064,TOP,2025-06-01 11:40:47,1500,58.38,87570.0
BUY,ORD20250703201044835099_1875,ACC127,TRUE,2025-06-01 11:42:45,7200,5.34,38448.0
BUY,ORD20250703201044834558_4292,ACC054,KTC,2025-06-01 11:43:45,7000,45.98,321860.0
BUY,ORD20250703201044834065_4501,ACC004,OSP,2025-06-01 11:44:14,2700,22.61,61047.0
BUY,ORD20250703201044834682_1732,ACC075,BDMS,2025-06-01 11:44:54,700,26.56,18592.0
BUY,ORD20250703201044835172_2524,ACC191,BDMS,2025-06-01 11:47:14,9300,26.16,243288.0
BUY,ORD20250703201044835417_9995,ACC041,CRC,2025-06-01 11:49:30,3200,33.5,107200.0
BUY,ORD20250703201044834173_7153,ACC130,TRUE,2025-06-01 11:50:20,6100,6.58,40138.0
BUY,ORD20250703201044835086_7933,ACC142,SCB,2025-06-01 11:51:49,6800,120.55,819740.0
BUY,ORD20250703201044834609_4444,ACC103,MINT,2025-06-01 11:55:51,3400,37.57,127738.0
BUY,ORD20250703201044835201_9941,ACC196,BBL,2025-06-01 11:55:57,1400,138.09,193326.0
BUY,ORD20250703201044834244_8769,ACC085,OSP,2025-06-01 11:56:39,7400,22.52,166648.0
BUY,ORD20250703201044835335_1252,ACC005,SCC,2025-06-01 12:00:52,1500,258.12,387180.0
SELL,ORD20250703201044835126_6196,ACC176,DELTA,2025-06-01 12:01:57,100,86.54,8654.0
SELL,ORD20250703201044834447_3480,ACC118,KTC,2025-06-01 12:01:57,800,46.12,36896.0
BUY,ORD20250703201044835367_9970,ACC056,BDMS,2025-06-01 12:02:14,3000,29.87,89610.0
BUY,ORD20250703201044834179_3628,ACC031,KBANK,2025-06-01 12:05:50,700,131.72,92204.0
BUY,ORD20250703201044834324_2833,ACC197,BDMS,2025-06-01 12:06:45,800,29.25,23400.0
BUY,ORD20250703201044834416_4890,ACC047,AOT,2025-06-01 12:09:26,100,62.26,6226.0
BUY,ORD20250703201044835445_2422,ACC108,PTT,2025-06-01 12:10:51,900,32.23,29007.0
BUY,ORD20250703201044834562_5863,ACC054,AOT,2025-06-01 12:11:16,1600,64.14,102624.0
SELL,ORD20250703201044834349_8852,ACC152,KBANK,2025-06-01 12:11:22,600,135.71,81426.0
BUY,ORD20250703201044835430_5296,ACC045,TRUE,2025-06-01 12:11:26,1400,5.14,7196.0
BUY,ORD20250703201044834778_7272,ACC121,DELTA,2025-06-01 12:20:15,2600,82.79,215254.0
BUY,ORD20250703201044835771_8076,ACC094,DELTA,2025-06-01 12:21:30,2100,91.81,192801.0
SELL,ORD20250703201044835272_3744,ACC011,TOP,2025-06-01 12:21:38,600,54.61,32766.0
BUY,ORD20250703201044835528_2852,ACC089,TISCO,2025-06-01 12:23:59,6200,91.73,568726.0
BUY,ORD20250703201044834116_8616,ACC017,OSP,2025-06-01 12:26:12,8600,24.48,210528.0
BUY,ORD20250703201044835165_3582,ACC147,INTUCH,2025-06-01 12:28:26,8500,70.47,598995.0
BUY,ORD20250703201044835729_6108,ACC050,AOT,2025-06-01 12:29:59,3200,67.38,215616.0
BUY,ORD20250703201044834587_6460,ACC164,KTC,2025-06-01 12:30:29,3500,45.43,159005.0
SELL,ORD20250703201044834911_7889,ACC083,KTB,2025-06-01 12:31:07,400,17.12,6848.0
BUY,ORD20250703201044834749_3022,ACC119,GULF,2025-06-01 12:31:24,2700,40.6,109620.0
BUY,ORD20250703201044835130_5867,ACC176,KTC,2025-06-01 12:36:02,5000,47.83,239150.0
BUY,ORD20250703201044834820_3597,ACC018,PTT,2025-06-01 12:36:06,8000,32.2,257600.0
SELL,ORD20250703201044834882_1958,ACC023,DELTA,2025-06-01 12:40:29,200,89.63,17926.0
BUY,ORD20250703201044834069_5370,ACC004,CPALL,2025-06-01 12:40:53,900,53.45,48105.0
BUY,ORD20250703201044835525_5413,ACC089,DELTA,2025-06-01 12:41:49,4700,92.06,432682.0
BUY,ORD20250703201044834974_1951,ACC105,TOP,2025-06-01 12:42:00,4300,59.24,254732.0
BUY,ORD20250703201044834798_2436,ACC182,BBL,2025-06-01 12:43:28,8200,137.23,1125286.0
BUY,ORD20250703201044835376_6476,ACC056,SCB,2025-06-01 12:44:03,6900,125.71,867399.0
BUY,ORD20250703201044835664_8803,ACC061,MINT,2025-06-01 12:44:10,5200,30.55,158860.0
BUY,ORD20250703201044834038_7349,ACC039,ADVANC,2025-06-01 12:47:43,5500,218.46,1201530.0
BUY,ORD20250703201044834406_7536,ACC047,KTB,2025-06-01 12:51:09,700,18.71,13097.0
BUY,ORD20250703201044834686_2617,ACC075,BDMS,2025-06-01 12:51:44,7800,29.82,232596.0
SELL,ORD20250703201044835734_5483,ACC178,MINT,2025-06-01 12:53:47,700,34.46,24122.0
SELL,ORD20250703201044835756_3265,ACC095,BBL,2025-06-01 12:54:32,300,130.45,39135.0
BUY,ORD20250703201044834023_4499,ACC080,BDMS,2025-06-01 12:54:58,2000,29.58,59160.0
BUY,ORD20250703201044835209_6888,ACC063,DELTA,2025-06-01 12:57:29,2100,82.92,174132.0
BUY,ORD20250703201044835620_6840,ACC124,KBANK,2025-06-01 12:58:32,1800,143.11,257598.0
BUY,ORD20250703201044835436_6432,ACC126,ADVANC,2025-06-01 13:02:00,5300,219.68,1164304.0
BUY,ORD20250703201044835696_9341,ACC035,BDMS,2025-06-01 13:03:18,400,25.5,10200.0
BUY,ORD20250703201044835343_8889,ACC005,BBL,2025-06-01 13:04:38,3100,134.17,415927.0
SELL,ORD20250703201044834279_3066,ACC187,KBANK,2025-06-01 13:07:57,200,148.25,29650.0
SELL,ORD20250703201044834466_4396,ACC064,KBANK,2025-06-01 13:08:48,400,136.78,54712.0
BUY,ORD20250703201044834100_4526,ACC159,CPALL,2025-06-01 13:10:01,7200,51.92,373824.0
BUY,ORD20250703201044834643_9145,ACC150,CPALL,2025-06-01 13:11:47,8700,55.78,485286.0
BUY,ORD20250703201044834379_8575,ACC184,INTUCH,2025-06-01 13:11:51,10000,71.63,716300.0
BUY,ORD20250703201044835512_1372,ACC087,MINT,2025-06-01 13:13:13,6000,31.87,191220.0
BUY,ORD20250703201044835642_8630,ACC102,CRC,2025-06-01 13:13:20,7200,31.93,229896.0
BUY,ORD20250703201044834835_7541,ACC153,BDMS,2025-06-01 13:19:14,8400,28.12,236208.0
BUY,ORD20250703201044834715_7086,ACC033,ADVANC,2025-06-01 13:20:22,700,212.94,149058.0
SELL,ORD20250703201044835406_8784,ACC138,MINT,2025-06-01 13:21:27,1100,31.59,34749.0
BUY,ORD20250703201044834421_9351,ACC047,MINT,2025-06-01 13:22:17,6900,31.08,214452.0
BUY,ORD20250703201044834576_2506,ACC164,TOP,2025-06-01 13:24:36,6600,53.68,354288.0
BUY,ORD20250703201044834697_7114,ACC043,TRUE,2025-06-01 13:26:13,7100,6.41,45511.0
BUY,ORD20250703201044835070_2059,ACC040,SCC,2025-06-01 13:27:59,4000,253.04,1012160.0
BUY,ORD20250703201044835564_2517,ACC171,INTUCH,2025-06-01 13:32:06,1800,71.15,128070.0
SELL,ORD20250703201044835550_7425,ACC140,PTT,2025-06-01 13:33:13,300,33.68,10104.0
BUY,ORD20250703201044834582_1869,ACC164,SCB,2025-06-01 13:33:58,600,123.88,74328.0
BUY,ORD20250703201044834662_7288,ACC068,SCC,2025-06-01 13:34:37,5800,253.82,1472156.0
BUY,ORD20250703201044835591_8954,ACC161,KTB,2025-06-01 13:35:31,3500,17.69,61915.0
BUY,ORD20250703201044834648_2327,ACC150,BBL,2025-06-01 13:36:44,8100,142.71,1155951.0
BUY,ORD20250703201044834386_7836,ACC184,CPALL,2025-06-01 13:36:59,10000,59.13,591300.0
BUY,ORD20250703201044835293_5059,ACC122,INTUCH,2025-06-01 13:37:22,2500,78.99,197475.0
BUY,ORD20250703201044834236_7133,ACC174,CRC,2025-06-01 13:40:40,2500,35.59,88975.0
BUY,ORD20250703201044834365_2348,ACC009,AOT,2025-06-01 13:44:48,7100,73.74,523554.0
BUY,ORD20250703201044835489_9102,ACC049,CRC,2025-06-01 13:45:30,7300,34.36,250828.0
BUY,ORD20250703201044834319_3293,ACC197,ADVANC,2025-06-01 13:46:36,2800,201.02,562856.0
BUY,ORD20250703201044834624_5772,ACC168,CPALL,2025-06-01 13:47:05,5200,57.55,299260.0
SELL,ORD20250703201044835708_5722,ACC155,SCB,2025-06-01 13:47:14,900,114.52,103068.0
BUY,ORD20250703201044834542_8613,ACC149,CRC,2025-06-01 13:48:04,9600,35.31,338976.0
BUY,ORD20250703201044835196_5847,ACC196,TISCO,2025-06-01 13:49:12,8500,95.52,811920.0
BUY,ORD20250703201044834221_1765,ACC120,TRUE,2025-06-01 13:49:19,5300,5.97,31641.0
BUY,ORD20250703201044834432_4995,ACC115,KTB,2025-06-01 13:49:51,7400,17.95,132830.0
BUY,ORD20250703201044835305_9342,ACC048,SCB,2025-06-01 13:50:01,2100,116.26,244146.0
SELL,ORD20250703201044835277_6874,ACC011,KBANK,2025-06-01 13:51:23,500,144.26,72130.0
BUY,ORD20250703201044835011_9404,ACC137,TRUE,2025-06-01 13:54:19,4000,6.8,27200.0
BUY,ORD20250703201044834919_7271,ACC083,SCC,2025-06-01 13:54:20,2600,278.52,724152.0
BUY,ORD20250703201044835652_4594,ACC102,PTT,2025-06-01 13:55:17,6600,31.32,206712.0
BUY,ORD20250703201044835309_5648,ACC048,BBL,2025-06-01 13:57:39,8800,144.96,1275648.0
BUY,ORD20250703201044835543_5984,ACC134,BDMS,2025-06-01 14:00:21,5800,29.05,168490.0
BUY,ORD20250703201044833994_7805,ACC104,MINT,2025-06-01 14:01:38,900,33.85,30465.0
BUY,ORD20250703201044835714_4335,ACC013,AOT,2025-06-01 14:04:27,6400,63.72,407808.0
BUY,ORD20250703201044834970_2274,ACC105,BBL,2025-06-01 14:05:34,6900,145.01,1000569.0
SELL,ORD20250703201044834891_6045,ACC023,BBL,2025-06-01 14:06:06,500,136.29,68145.0
BUY,ORD20250703201044834295_4452,ACC092,SCB,2025-06-01 14:06:57,2700,127.09,343143.0
BUY,ORD20250703201044835535_9807,ACC175,ADVANC,2025-06-01 14:09:57,7300,210.13,1533949.0
BUY,ORD20250703201044835581_9012,ACC008,TRUE,2025-06-01 14:14:06,4200,5.28,22176.0
SELL,ORD20250703201044834631_7003,ACC168,DELTA,2025-06-01 14:17:04,2000,81.63,163260.0
BUY,ORD20250703201044835424_6440,ACC045,DELTA,2025-06-01 14:17:21,5100,85.36,435336.0
BUY,ORD20250703201044835628_8543,ACC124,KBANK,2025-06-01 14:17:44,10000,147.23,1472300.0
BUY,ORD20250703201044834452_6644,ACC086,GULF,2025-06-01 14:18:21,2000,42.61,85220.0
BUY,ORD20250703201044834951_8593,ACC036,CPALL,2025-06-01 14:19:46,6200,57.65,357430.0
BUY,ORD20250703201044835452_1604,ACC021,DELTA,2025-06-01 14:22:12,3500,81.55,285425.0
BUY,ORD20250703201044834924_6974,ACC083,TRUE,2025-06-01 14:23:24,1600,6.54,10464.0
SELL,ORD20250703201044834090_5922,ACC189,BBL,2025-06-01 14:24:10,100,131.07,13107.0
BUY,ORD20250703201044834442_2536,ACC118,ADVANC,2025-06-01 14:29:32,5900,208.93,1232687.0
BUY,ORD20250703201044835648_3660,ACC102,KBANK,2025-06-01 14:35:26,300,131.55,39465.0
BUY,ORD20250703201044834371_2679,ACC009,SCB,2025-06-01 14:36:04,9900,119.15,1179585.0
BUY,ORD20250703201044835691_1204,ACC035,TISCO,2025-06-01 14:37:07,4500,97.64,439380.0
SELL,ORD20250703201044834480_9037,ACC064,MINT,2025-06-01 14:39:16,1200,33.78,40536.0
SELL,ORD20250703201044834986_3555,ACC038,GULF,2025-06-01 14:40:39,200,43.54,8708.0
BUY,ORD20250703201044834671_3110,ACC068,BDMS,2025-06-01 14:41:30,9900,27.85,275715.0
BUY,ORD20250703201044835723_8945,ACC013,BBL,2025-06-01 14:44:13,4000,145.77,583080.0
BUY,ORD20250703201044835476_7709,ACC026,INTUCH,2025-06-01 14:44:39,4200,75.7,317940.0
BUY,ORD20250703201044835638_1808,ACC102,BDMS,2025-06-01 14:51:59,5600,28.07,157192.0
BUY,ORD20250703201044834824_6228,ACC018,CPALL,2025-06-01 14:57:48,100,52.07,5207.0
BUY,ORD20250703201044834614_7624,ACC168,DELTA,2025-06-01 14:59:24,6400,92.38,591232.0
BUY,ORD20250703201044834736_3789,ACC034,DELTA,2025-06-01 15:02:31,7200,92.15,663480.0
BUY,ORD20250703201044835396_5625,ACC138,MINT,2025-06-01 15:02:32,2200,30.71,67562.0
BUY,ORD20250703201044835301_5820,ACC122,GULF,2025-06-01 15:02:49,8100,45.26,366606.0
BUY,ORD20250703201044834789_7680,ACC065,KTC,2025-06-01 15:03:24,200,46.63,9326.0
BUY,ORD20250703201044834288_6829,ACC092,AOT,2025-06-01 15:08:10,4700,68.66,322702.0
BUY,ORD20250703201044834886_2392,ACC023,SCC,2025-06-01 15:08:57,900,251.59,226431.0
BUY,ORD20250703201044835020_7614,ACC032,GULF,2025-06-01 15:12:27,2500,47.68,119200.0
BUY,ORD20250703201044834571_7487,ACC054,OSP,2025-06-01 15:14:23,3500,22.25,77875.0
BUY,ORD20250703201044834514_7366,ACC113,INTUCH,2025-06-01 15:16:18,9000,76.73,690570.0
BUY,ORD20250703201044834231_7586,ACC174,MINT,2025-06-01 15:16:29,4200,34.18,143556.0
SELL,ORD20250703201044835081_7250,ACC002,INTUCH,2025-06-01 15:16:43,700,77.75,54425.0
BUY,ORD20250703201044834864_9094,ACC154,CPALL,2025-06-01 15:18:36,1000,54.24,54240.0
BUY,ORD20250703201044834604_6886,ACC103,CRC,2025-06-01 15:23:44,9300,36.05,335265.0
BUY,ORD20250703201044835668_6347,ACC061,BBL,2025-06-01 15:25:25,2700,143.23,386721.0
BUY,ORD20250703201044834956_6143,ACC036,INTUCH,2025-06-01 15:26:34,2100,75.35,158235.0
BUY,ORD20250703201044835258_6973,ACC015,SCC,2025-06-01 15:29:51,9600,267.95,2572320.0
BUY,ORD20250703201044835264_3295,ACC015,DELTA,2025-06-01 15:30:25,2500,81.79,204475.0
BUY,ORD20250703201044834301_8923,ACC029,BBL,2025-06-01 15:31:46,9000,132.36,1191240.0
BUY,ORD20250703201044834764_4676,ACC192,TISCO,2025-06-01 15:32:33,5400,99.82,539028.0
BUY,ORD20250703201044835389_9884,ACC010,CRC,2025-06-01 15:34:12,9500,34.29,325755.0
SELL,ORD20250703201044835214_5958,ACC077,GULF,2025-06-01 15:35:07,300,41.91,12573.0
BUY,ORD20250703201044835656_9627,ACC060,GULF,2025-06-01 15:37:04,5800,43.09,249922.0
BUY,ORD20250703201044834458_8418,ACC156,TRUE,2025-06-01 15:37:04,5000,6.0,30000.0
SELL,ORD20250703201044834105_8503,ACC190,CPALL,2025-06-01 15:37:50,100,58.78,5878.0
SELL,ORD20250703201044835480_9142,ACC090,AOT,2025-06-01 15:38:45,300,72.71,21813.0
BUY,ORD20250703201044834942_6224,ACC186,KTC,2025-06-01 15:38:49,3400,47.94,162996.0
BUY,ORD20250703201044834784_8942,ACC121,ADVANC,2025-06-01 15:39:42,7300,202.2,1476060.0
BUY,ORD20250703201044834215_9171,ACC120,KBANK,2025-06-01 15:39:55,5900,143.65,847535.0
BUY,ORD20250703201044834596_3772,ACC132,SCB,2025-06-01 15:40:06,5700,117.8,671460.0
BUY,ORD20250703201044835185_2151,ACC027,PTT,2025-06-01 15:43:39,6800,32.54,221272.0
BUY,ORD20250703201044835743_7692,ACC076,BBL,2025-06-01 15:44:27,1800,140.3,252540.0
SELL,ORD20250703201044834267_2829,ACC099,INTUCH,2025-06-01 15:44:48,5600,73.61,412216.0
BUY,ORD20250703201044835090_7796,ACC127,CRC,2025-06-01 15:44:48,7900,36.07,284953.0
